date,equity,peak,drawdown,returns
2024-01-02,30000.0,30000.0,0.0,
2024-01-03,30000.0,30000.0,0.0,0.0
2024-01-04,30000.0,30000.0,0.0,0.0
2024-01-05,30000.0,30000.0,0.0,0.0
2024-01-08,30000.0,30000.0,0.0,0.0
2024-01-09,30000.0,30000.0,0.0,0.0
2024-01-10,30000.0,30000.0,0.0,0.0
2024-01-11,30000.0,30000.0,0.0,0.0
2024-01-12,30000.0,30000.0,0.0,0.0
2024-01-16,30000.0,30000.0,0.0,0.0
2024-01-17,30000.0,30000.0,0.0,0.0
2024-01-18,30000.0,30000.0,0.0,0.0
2024-01-19,30000.0,30000.0,0.0,0.0
2024-01-22,30000.0,30000.0,0.0,0.0
2024-01-23,30000.0,30000.0,0.0,0.0
2024-01-24,30000.0,30000.0,0.0,0.0
2024-01-25,30000.0,30000.0,0.0,0.0
2024-01-26,30000.0,30000.0,0.0,0.0
2024-01-29,30000.0,30000.0,0.0,0.0
2024-01-30,30000.0,30000.0,0.0,0.0
2024-01-31,30000.0,30000.0,0.0,0.0
2024-02-01,30000.0,30000.0,0.0,0.0
2024-02-02,30000.0,30000.0,0.0,0.0
2024-02-05,30000.0,30000.0,0.0,0.0
2024-02-06,30000.0,30000.0,0.0,0.0
2024-02-07,30000.0,30000.0,0.0,0.0
2024-02-08,30000.0,30000.0,0.0,0.0
2024-02-09,30000.0,30000.0,0.0,0.0
2024-02-12,30000.0,30000.0,0.0,0.0
2024-02-13,30000.0,30000.0,0.0,0.0
2024-02-14,30000.0,30000.0,0.0,0.0
2024-02-15,30000.0,30000.0,0.0,0.0
2024-02-16,30000.0,30000.0,0.0,0.0
2024-02-20,30000.0,30000.0,0.0,0.0
2024-02-21,30000.0,30000.0,0.0,0.0
2024-02-22,30000.0,30000.0,0.0,0.0
2024-02-23,30000.0,30000.0,0.0,0.0
2024-02-26,30000.0,30000.0,0.0,0.0
2024-02-27,30000.0,30000.0,0.0,0.0
2024-02-28,30000.0,30000.0,0.0,0.0
2024-02-29,30000.0,30000.0,0.0,0.0
2024-03-01,30000.0,30000.0,0.0,0.0
2024-03-04,30000.0,30000.0,0.0,0.0
2024-03-05,30000.0,30000.0,0.0,0.0
2024-03-06,30000.0,30000.0,0.0,0.0
2024-03-07,30000.0,30000.0,0.0,0.0
2024-03-08,30000.0,30000.0,0.0,0.0
2024-03-11,30000.0,30000.0,0.0,0.0
2024-03-12,30000.0,30000.0,0.0,0.0
2024-03-13,30000.0,30000.0,0.0,0.0
2024-03-14,30000.0,30000.0,0.0,0.0
2024-03-15,30000.0,30000.0,0.0,0.0
2024-03-18,30000.0,30000.0,0.0,0.0
2024-03-19,30000.0,30000.0,0.0,0.0
2024-03-20,30000.0,30000.0,0.0,0.0
2024-03-21,30000.0,30000.0,0.0,0.0
2024-03-22,30000.0,30000.0,0.0,0.0
2024-03-25,30000.0,30000.0,0.0,0.0
2024-03-26,30000.0,30000.0,0.0,0.0
2024-03-27,30000.0,30000.0,0.0,0.0
2024-03-28,30000.0,30000.0,0.0,0.0
2024-04-01,30000.0,30000.0,0.0,0.0
2024-04-02,30000.0,30000.0,0.0,0.0
2024-04-03,30000.0,30000.0,0.0,0.0
2024-04-04,30000.0,30000.0,0.0,0.0
2024-04-05,30000.0,30000.0,0.0,0.0
2024-04-08,30000.0,30000.0,0.0,0.0
2024-04-09,30000.0,30000.0,0.0,0.0
2024-04-10,30000.0,30000.0,0.0,0.0
2024-04-11,30000.0,30000.0,0.0,0.0
2024-04-12,30000.0,30000.0,0.0,0.0
2024-04-15,30000.0,30000.0,0.0,0.0
2024-04-16,30000.0,30000.0,0.0,0.0
2024-04-17,30000.0,30000.0,0.0,0.0
2024-04-18,30000.0,30000.0,0.0,0.0
2024-04-19,30000.0,30000.0,0.0,0.0
2024-04-22,30000.0,30000.0,0.0,0.0
2024-04-23,30000.0,30000.0,0.0,0.0
2024-04-24,30000.0,30000.0,0.0,0.0
2024-04-25,30000.0,30000.0,0.0,0.0
2024-04-26,30000.0,30000.0,0.0,0.0
2024-04-29,30000.0,30000.0,0.0,0.0
2024-04-30,30000.0,30000.0,0.0,0.0
2024-05-01,30000.0,30000.0,0.0,0.0
2024-05-02,30000.0,30000.0,0.0,0.0
2024-05-03,30000.0,30000.0,0.0,0.0
2024-05-06,30000.0,30000.0,0.0,0.0
2024-05-07,30000.0,30000.0,0.0,0.0
2024-05-08,30000.0,30000.0,0.0,0.0
2024-05-09,30000.0,30000.0,0.0,0.0
2024-05-10,30000.0,30000.0,0.0,0.0
2024-05-13,30000.0,30000.0,0.0,0.0
2024-05-14,30000.0,30000.0,0.0,0.0
2024-05-15,30000.0,30000.0,0.0,0.0
2024-05-16,30000.0,30000.0,0.0,0.0
2024-05-17,30000.0,30000.0,0.0,0.0
2024-05-20,30000.0,30000.0,0.0,0.0
2024-05-21,30000.0,30000.0,0.0,0.0
2024-05-22,30000.0,30000.0,0.0,0.0
2024-05-23,30000.0,30000.0,0.0,0.0
2024-05-24,30000.0,30000.0,0.0,0.0
2024-05-28,30000.0,30000.0,0.0,0.0
2024-05-29,30000.0,30000.0,0.0,0.0
2024-05-30,30000.0,30000.0,0.0,0.0
2024-05-31,30000.0,30000.0,0.0,0.0
2024-06-03,30000.0,30000.0,0.0,0.0
2024-06-04,30000.0,30000.0,0.0,0.0
2024-06-05,30000.0,30000.0,0.0,0.0
2024-06-06,30000.0,30000.0,0.0,0.0
2024-06-07,30000.0,30000.0,0.0,0.0
2024-06-10,30000.0,30000.0,0.0,0.0
2024-06-11,30000.0,30000.0,0.0,0.0
2024-06-12,30000.0,30000.0,0.0,0.0
2024-06-13,30000.0,30000.0,0.0,0.0
2024-06-14,30000.0,30000.0,0.0,0.0
2024-06-17,30000.0,30000.0,0.0,0.0
2024-06-18,30000.0,30000.0,0.0,0.0
2024-06-20,30000.0,30000.0,0.0,0.0
2024-06-21,30000.0,30000.0,0.0,0.0
2024-06-24,30000.0,30000.0,0.0,0.0
2024-06-25,30000.0,30000.0,0.0,0.0
2024-06-26,30000.0,30000.0,0.0,0.0
2024-06-27,30000.0,30000.0,0.0,0.0
2024-06-28,30000.0,30000.0,0.0,0.0
2024-07-01,30000.0,30000.0,0.0,0.0
2024-07-02,30000.0,30000.0,0.0,0.0
2024-07-03,30000.0,30000.0,0.0,0.0
2024-07-05,30000.0,30000.0,0.0,0.0
2024-07-08,30000.0,30000.0,0.0,0.0
2024-07-09,30000.0,30000.0,0.0,0.0
2024-07-10,30000.0,30000.0,0.0,0.0
2024-07-11,30000.0,30000.0,0.0,0.0
2024-07-12,30000.0,30000.0,0.0,0.0
2024-07-15,30000.0,30000.0,0.0,0.0
2024-07-16,30000.0,30000.0,0.0,0.0
2024-07-17,30000.0,30000.0,0.0,0.0
2024-07-18,30000.0,30000.0,0.0,0.0
2024-07-19,30000.0,30000.0,0.0,0.0
2024-07-22,30000.0,30000.0,0.0,0.0
2024-07-23,30000.0,30000.0,0.0,0.0
2024-07-24,30000.0,30000.0,0.0,0.0
2024-07-25,30000.0,30000.0,0.0,0.0
2024-07-26,30000.0,30000.0,0.0,0.0
2024-07-29,30000.0,30000.0,0.0,0.0
2024-07-30,30000.0,30000.0,0.0,0.0
2024-07-31,30000.0,30000.0,0.0,0.0
2024-08-01,30000.0,30000.0,0.0,0.0
2024-08-02,30000.0,30000.0,0.0,0.0
2024-08-05,30000.0,30000.0,0.0,0.0
2024-08-06,30000.0,30000.0,0.0,0.0
2024-08-07,30000.0,30000.0,0.0,0.0
2024-08-08,30000.0,30000.0,0.0,0.0
2024-08-09,30000.0,30000.0,0.0,0.0
2024-08-12,30000.0,30000.0,0.0,0.0
2024-08-13,30000.0,30000.0,0.0,0.0
2024-08-14,30000.0,30000.0,0.0,0.0
2024-08-15,30000.0,30000.0,0.0,0.0
2024-08-16,30000.0,30000.0,0.0,0.0
2024-08-19,30000.0,30000.0,0.0,0.0
2024-08-20,30000.0,30000.0,0.0,0.0
2024-08-21,30000.0,30000.0,0.0,0.0
2024-08-22,30000.0,30000.0,0.0,0.0
2024-08-23,30000.0,30000.0,0.0,0.0
2024-08-26,30000.0,30000.0,0.0,0.0
2024-08-27,30000.0,30000.0,0.0,0.0
2024-08-28,30000.0,30000.0,0.0,0.0
2024-08-29,30000.0,30000.0,0.0,0.0
2024-08-30,30000.0,30000.0,0.0,0.0
2024-09-03,30000.0,30000.0,0.0,0.0
2024-09-04,30000.0,30000.0,0.0,0.0
2024-09-05,30000.0,30000.0,0.0,0.0
2024-09-06,30000.0,30000.0,0.0,0.0
2024-09-09,30000.0,30000.0,0.0,0.0
2024-09-10,30000.0,30000.0,0.0,0.0
2024-09-11,30000.0,30000.0,0.0,0.0
2024-09-12,30000.0,30000.0,0.0,0.0
2024-09-13,30000.0,30000.0,0.0,0.0
2024-09-16,30000.0,30000.0,0.0,0.0
2024-09-17,30000.0,30000.0,0.0,0.0
2024-09-18,30000.0,30000.0,0.0,0.0
2024-09-19,30000.0,30000.0,0.0,0.0
2024-09-20,30000.0,30000.0,0.0,0.0
2024-09-23,30000.0,30000.0,0.0,0.0
2024-09-24,30000.0,30000.0,0.0,0.0
2024-09-25,30000.0,30000.0,0.0,0.0
2024-09-26,30000.0,30000.0,0.0,0.0
2024-09-27,30000.0,30000.0,0.0,0.0
2024-09-30,30000.0,30000.0,0.0,0.0
2024-10-01,30000.0,30000.0,0.0,0.0
2024-10-02,30000.0,30000.0,0.0,0.0
2024-10-03,30000.0,30000.0,0.0,0.0
2024-10-04,30000.0,30000.0,0.0,0.0
2024-10-07,30000.0,30000.0,0.0,0.0
2024-10-08,30000.0,30000.0,0.0,0.0
2024-10-09,30000.0,30000.0,0.0,0.0
2024-10-10,30000.0,30000.0,0.0,0.0
2024-10-11,30082.17375946045,30082.17375946045,0.0,0.0027391253153483675
2024-10-14,30353.601930618286,30353.601930618286,0.0,0.009022890876444034
2024-10-15,30860.302249908447,30860.302249908447,0.0,0.016693251774480222
2024-10-16,26228.917123794556,30860.302249908447,-0.15007581872039608,-0.1500758187203961
2024-10-17,31015.45648574829,31015.45648574829,0.0,0.18249092554459456
2024-10-18,31145.87257194519,31145.87257194519,0.0,0.004204873987807556
2024-10-21,30981.091640472412,31145.87257194519,-0.005290618559237464,-0.005290618559237514
2024-10-22,26577.099605560303,31145.87257194519,-0.14668951578836914,-0.14215096375619374
2024-10-23,30803.86572793906,31145.87257194519,-0.01098080791334753,0.1590379004898812
2024-10-24,30760.31963304465,31145.87257194519,-0.012378941640178274,-0.001413656820835718
2024-10-25,26915.54746774619,31145.87257194519,-0.13582297604368576,-0.12499129434169365
2024-10-28,30678.786244298237,31145.87257194519,-0.014996732763482892,0.1398165421328199
2024-10-29,30376.481898213642,31145.87257194519,-0.024702813252520047,-0.0098538561362016
2024-10-30,23446.193819905537,31145.87257194519,-0.24721345450360507,-0.2281465016762082
2024-10-31,30140.576339692587,31145.87257194519,-0.03227702900056586,0.2855210773743413
2024-11-01,25786.668569535726,31145.87257194519,-0.172067871594543,-0.14445336814688348
2024-11-04,20880.347832982992,31145.87257194519,-0.3295950278885082,-0.19026578494707314
2024-11-05,30643.768825796105,31145.87257194519,-0.016121036422699478,0.4675890014337132
2024-11-06,26754.15821483419,31145.87257194519,-0.14100469803716012,-0.12692990320719355
2024-11-07,30891.25373962764,31145.87257194519,-0.008175042510990726,0.15463373923308787
2024-11-08,28380.244157108107,31145.87257194519,-0.08879598439403613,-0.08128545392440256
2024-11-11,30984.29527023677,31145.87257194519,-0.005187759672977111,0.09175576850971012
2024-11-12,27466.018742831984,31145.87257194519,-0.11814900419350761,-0.11355031627214096
2024-11-13,30828.476552280226,31145.87257194519,-0.010190628595548172,0.12242246832099646
2024-11-14,30532.96971252803,31145.87257194519,-0.01967846166458784,-0.00958551549737019
2024-11-15,20118.411248477736,31145.87257194519,-0.3540585128252434,-0.34109222136283324
2024-11-18,30749.096359407282,31145.87257194519,-0.012739287095629706,0.5284057960458444
2024-11-19,30852.865814363337,31145.87257194519,-0.009407562973393183,0.0033747155930423656
2024-11-20,30996.0002137774,31145.87257194519,-0.004811949250148468,0.004639257833462862
2024-11-21,29077.153091585016,31145.87257194519,-0.06642034110881145,-0.06190628174468382
2024-11-22,27336.199386751032,31145.87257194519,-0.12231711204731961,-0.0598735955803672
2024-11-25,31877.02759567437,31877.02759567437,0.0,0.16611044368970074
2024-11-26,27260.116851960993,31877.02759567437,-0.1448350455467147,-0.14483504554671467
2024-11-27,32093.51772323785,32093.51772323785,0.0,0.17730668204854583
2024-11-29,29009.722969209528,32093.51772323785,-0.0960877763734652,-0.09608777637346522
2024-12-02,32203.273361360407,32203.273361360407,0.0,0.11008551841534175
2024-12-03,32135.18047348199,32203.273361360407,-0.0021144710077864405,-0.0021144710077863893
2024-12-04,29101.015937959528,32203.273361360407,-0.09633360523912361,-0.09441878000424675
2024-12-05,31902.935116329783,32203.273361360407,-0.009326326602282269,0.09628252100695267
2024-12-06,19900.2143903166,32203.273361360407,-0.3820437392493715,-0.3762262212629298
2024-12-09,28905.74430303633,32203.273361360407,-0.1023973253067084,0.45253431626856244
2024-12-10,31953.99453008711,32203.273361360407,-0.0077407917038768035,0.10545482569464881
2024-12-11,32046.064949398635,32203.273361360407,-0.004881752553465605,0.0028813430266076967
2024-12-12,28987.619163876174,32203.273361360407,-0.09985488622229892,-0.09543904346295895
2024-12-13,31940.952282314895,32203.273361360407,-0.008145789283652831,0.1018825693045915
2024-12-16,31626.0479778105,32203.273361360407,-0.017924432000210874,-0.009858951659332704
2024-12-17,19492.887749081252,32203.273361360407,-0.3946923491178355,-0.3836445273605519
2024-12-18,21184.80816012631,32203.273361360407,-0.3421535779171682,0.08679680675454593
2024-12-19,21716.082706923567,32203.273361360407,-0.32565604548201166,0.025078090997170843
2024-12-20,30993.82000095769,32203.273361360407,-0.03755684544335477,0.42722886163424745
2024-12-23,28005.07661564275,32203.273361360407,-0.13036552833026374,-0.09643030078972492
2024-12-24,31152.647458080493,32203.273361360407,-0.03262481709516285,0.11239286668045079
2024-12-26,31124.617402080738,32203.273361360407,-0.0334952272452499,-0.0008997648125242952
2024-12-27,30822.545643810474,32203.273361360407,-0.042875384190186716,-0.009705236031273046
2024-12-30,27476.150425914966,32203.273361360407,-0.1467901378347877,-0.10856972219513938
2024-12-31,30581.6580762857,32203.273361360407,-0.05035560412999586,0.11302557316914674
2025-01-02,23180.610960959773,32203.273361360407,-0.28017842469475834,-0.24200934746128133
2025-01-03,26200.824570856137,32203.273361360407,-0.18639250498386914,0.13029050938229947
2025-01-06,30458.859799847658,32203.273361360407,-0.05416882755794044,0.16251531387786344
2025-01-07,30308.14563892847,32203.273361360407,-0.05884891579704554,-0.004948122218282891
2025-01-08,30260.36903141504,32203.273361360407,-0.06033251055392989,-0.0015763619484546743
2025-01-10,19102.884290204103,32203.273361360407,-0.4068030266412298,-0.368716083059916
2025-01-13,26750.623818624517,32203.273361360407,-0.1693197297538807,0.40034475486731336
2025-01-14,29979.43028081216,32203.273361360407,-0.06905642962421821,0.1207002305471343
2025-01-15,30152.04021657266,32203.273361360407,-0.06369641749676762,0.005757612274272406
2025-01-16,27000.693407185452,32203.273361360407,-0.1615543828664744,-0.10451520980842655
2025-01-17,30163.57376664948,32203.273361360407,-0.06333826912012905,0.11714070863907211
2025-01-21,30643.03991884064,32203.273361360407,-0.048449529493850646,0.015895535320197496
2025-01-22,27596.069642961735,32203.273361360407,-0.14306631710075463,-0.0994343343202545
2025-01-23,26816.86197465729,32203.273361360407,-0.16726285325907533,-0.028236182847262037
2025-01-24,31114.877805650944,32203.273361360407,-0.03379766843874298,0.16027288483847957
2025-01-27,25694.63269227814,32203.273361360407,-0.20211115174682082,-0.17420107342952196
2025-01-28,32003.11469835114,32203.273361360407,-0.006215475699108009,0.24551750093586078
2025-01-29,31991.957208574528,32203.273361360407,-0.006561946371558308,-0.0003486376211121467
2025-01-30,28089.597093523258,32203.273361360407,-0.12774093557746855,-0.12197941156302106
2025-01-31,31923.133262425632,32203.273361360407,-0.008699118744584062,0.13647529924116597
2025-02-03,16353.016719609472,32203.273361360407,-0.49219396003292976,-0.48773772971535334
2025-02-04,26868.898113957617,32203.273361360407,-0.16564698835253566,0.6430545247188664
2025-02-05,31968.140610448096,32203.273361360407,-0.007301517093428111,0.18978234518078607
2025-02-06,32078.209416142676,32203.273361360407,-0.003883578660292062,0.003443078126933896
2025-02-07,27311.195099583838,32203.273361360407,-0.15191245333607623,-0.1486059977574664
2025-02-10,32650.439144841406,32650.439144841406,0.0,0.1954965363393757
2025-02-11,32442.021862736914,32650.439144841406,-0.006383291850376873,-0.006383291850376893
2025-02-12,32090.512348881934,32650.439144841406,-0.01714913522221149,-0.010835006379757317
2025-02-13,30076.26204752085,32650.439144841406,-0.07884050459172041,-0.06276778256023274
2025-02-14,32637.553576070044,32650.439144841406,-0.0003946522346667429,0.08515990200186185
2025-02-18,32843.20292528269,32843.20292528269,0.0,0.006301003803282246
2025-02-19,30380.374449330542,32843.20292528269,-0.07498746335900947,-0.07498746335900952
2025-02-20,32311.75300844309,32843.20292528269,-0.016181427799494233,0.06357323088080324
2025-02-21,24857.543612080786,32843.20292528269,-0.243144961572994,-0.23069653306691573
2025-02-24,31670.21398436254,32843.20292528269,-0.03571481574402669,0.27406852738943965
2025-02-25,27098.161951891838,32843.20292528269,-0.1749232858458004,-0.14436441871621697
2025-02-26,31550.1336944469,32843.20292528269,-0.03937098442491995,0.16429054304342783
2025-02-27,27917.698780811646,32843.20292528269,-0.1499702740830856,-0.11513215597798221
2025-02-28,31917.709780166748,32843.20292528269,-0.02817913792456272,0.14327867890402146
2025-03-03,27519.068270156982,32843.20292528269,-0.162107656407262,-0.13781194015189102
2025-03-04,23443.46565182683,32843.20292528269,-0.28620038352653915,-0.14810103955263387
2025-03-05,26771.453819688082,32843.20292528269,-0.1848707971450792,0.1419580286160429
2025-03-06,22254.721454408827,32843.20292528269,-0.3223949105987727,-0.16871449700492502
2025-03-07,29965.482778007034,32843.20292528269,-0.08761996062997829,0.34647754811914955
2025-03-10,11731.314797812942,32843.20292528269,-0.6428084427544617,-0.6085057302523067
2025-03-11,24749.540004180573,32843.20292528269,-0.24643342305910174,1.1096987363082786
2025-03-12,28624.811841431874,32843.20292528269,-0.12844030752565547,0.1565795500278675
2025-03-13,28491.44171661498,32843.20292528269,-0.1325011211168362,-0.0046592489605068454
2025-03-14,25401.27450317504,32843.20292528269,-0.226589606349838,-0.1084594891397822
2025-03-17,28646.351824133333,32843.20292528269,-0.12778446458760642,0.12775253936776587
2025-03-18,28605.211931555208,32843.20292528269,-0.12903707970774914,-0.0014361302559813272
2025-03-19,28675.391985266146,32843.20292528269,-0.12690025846438274,0.002453400935426009
2025-03-20,28658.891985266146,32843.20292528269,-0.12740264551955324,-0.0005754062580375363
