date,equity,peak,drawdown,returns
2025-03-21,28650.97197183841,32843.20292528269,-0.12764379171487872,-0.0002763544882267155
2025-03-24,28720.711931555208,32843.20292528269,-0.12552037032155564,0.002434121948300616
2025-03-25,28716.41176065677,32843.20292528269,-0.1256513006363675,-0.00014972368751464682
2025-03-26,28872.079401342806,32843.20292528269,-0.12091157896427071,0.005420859750287832
2025-03-27,29149.659242956575,32843.20292528269,-0.11245991113378367,0.009614127121057248
2025-03-28,28902.873644201693,32843.20292528269,-0.11997396508632638,-0.008466157243828265
2025-03-31,25235.635263769564,32843.20292528269,-0.2316329402713894,-0.12688144526998713
2025-04-01,29119.82218393558,32843.20292528269,-0.11336838096508711,0.15391674826361457
2025-04-02,29303.05012735599,32843.20292528269,-0.10778951145478849,0.006292206808923728
2025-04-03,20977.488008825716,32843.20292528269,-0.3612837317800923,-0.28411930097194593
2025-04-04,11309.377567034857,32843.20292528269,-0.6556554611082436,-0.46088027497492845
2025-04-07,28032.702861475464,32843.20292528269,-0.1464686643002198,1.4787131471484867
2025-04-08,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-09,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-10,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-11,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-14,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-15,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-16,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-17,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-21,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-22,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-23,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-24,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-25,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-28,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-29,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-30,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-05-01,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-05-02,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-05-05,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-05-06,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-05-07,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-05-08,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-05-09,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-05-12,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-05-13,27738.291143106933,32843.20292528269,-0.15543282406984726,-0.010502437807134557
2025-05-14,19482.63791053247,32843.20292528269,-0.4067984795863274,-0.2976265981917211
2025-05-15,28160.839101156696,32843.20292528269,-0.14256721047512427,0.4454325554104108
2025-05-16,28514.854520163044,32843.20292528269,-0.13178825509090908,0.012571195685422865
2025-05-19,28641.869265875324,32843.20292528269,-0.12792094817808347,0.004454336094279032
2025-05-20,28588.189606985554,32843.20292528269,-0.1295553703448828,-0.0018741674431747013
2025-05-21,28320.934830984577,32843.20292528269,-0.1376926636718757,-0.009348433030389347
2025-05-22,28048.712455114826,32843.20292528269,-0.14598120899094974,-0.009612054739518205
2025-05-23,28306.540055593952,32843.20292528269,-0.13813095147904764,0.009192136747514512
2025-05-27,28463.333772024616,32843.20292528269,-0.13335694339014822,0.005539133928863071
2025-05-28,28058.728238424763,32843.20292528269,-0.1456762514223252,-0.014214973440585643
2025-05-29,28233.013491949543,32843.20292528269,-0.14036966625396408,0.00621144522459538
2025-05-30,28443.914698919758,32843.20292528269,-0.13394820950840824,0.0074700211166034425
2025-06-02,28391.044896444782,32843.20292528269,-0.13555797340979306,-0.001858738610159838
2025-06-03,28204.357644400105,32843.20292528269,-0.14124217091237481,-0.0065755682020726125
2025-06-04,27958.308980307087,32843.20292528269,-0.1487337868991825,-0.008723781877793213
2025-06-05,24970.531531652912,32843.20292528269,-0.23970473925883146,-0.10686545637501421
2025-06-06,27954.38382123421,32843.20292528269,-0.1488532989663158,0.1194949449033127
2025-06-09,27923.27363561104,32843.20292528269,-0.14980053257486314,-0.001112891123700499
2025-06-10,28151.995059713823,32843.20292528269,-0.14283649119853584,0.00819106767664568
2025-06-11,28151.001352056963,32843.20292528269,-0.142866747311471,-3.529794796963692e-05
2025-06-12,28374.0598218293,32843.20292528269,-0.13607512987148532,0.007923642465955893
2025-06-13,28179.951156362993,32843.20292528269,-0.1419852923458305,-0.006841060697171497
2025-06-16,27921.61389707039,32843.20292528269,-0.1498510677965474,-0.009167413309524863
2025-06-17,20684.569709524614,32843.20292528269,-0.3702024203735125,-0.25919147131767717
2025-06-18,27812.81804830025,32843.20292528269,-0.15316365119523864,0.3446167089225596
2025-06-20,27864.409179510578,32843.20292528269,-0.1515928198933192,0.0018549408089727493
2025-06-23,28272.977140249714,32843.20292528269,-0.1391528650670918,0.014662717522809121
2025-06-24,25425.424081625446,32843.20292528269,-0.2258543072224859,-0.10071642064784403
2025-06-25,24916.054426779254,32843.20292528269,-0.24136344182196431,-0.020033870554564515
2025-06-26,27999.906301749535,32843.20292528269,-0.1474672441220642,0.12376967164013819
2025-06-27,28022.527225745507,32843.20292528269,-0.14677848900742346,0.0008078928462185164
2025-06-30,28318.79909731228,32843.20292528269,-0.13775769185067896,0.010572632124863368
2025-07-01,28267.57546259243,32843.20292528269,-0.13931733372959013,-0.0018088208664438499
2025-07-02,24439.129436744042,32843.20292528269,-0.2558847109905104,-0.13543595314407908
2025-07-03,28187.459004615135,32843.20292528269,-0.14175669563225105,0.15337410350777514
2025-07-07,28126.664290641136,32843.20292528269,-0.14360775486396804,-0.0021568000848903868
2025-07-08,28052.16431543667,32843.20292528269,-0.1458761077823467,-0.0026487312691841902
2025-07-09,28133.11185953457,32843.20292528269,-0.14341144121855104,0.0028856077979464434
2025-07-10,23783.667218421288,32843.20292528269,-0.2758420281807343,-0.15460232991037626
2025-07-11,25246.777840827293,32843.20292528269,-0.2312936744244171,0.061517452669064276
2025-07-14,28475.142853949852,32843.20292528269,-0.1329973840027127,0.12787235794905594
2025-07-15,28364.118272040672,32843.20292528269,-0.1363778272000999,-0.003898999997247743
2025-07-16,28443.545956824608,32843.20292528269,-0.13395943685721431,0.002800287462566109
2025-07-17,24985.125359748192,32843.20292528269,-0.23926039075456165,-0.12158893980117902
2025-07-18,28808.455457862205,32843.20292528269,-0.12284878172812244,0.15302425115198814
2025-07-21,24405.579408820457,32843.20292528269,-0.25690623218623276,-0.15283277006925222
2025-07-22,24901.141382392234,32843.20292528269,-0.2418175097282202,0.020305273858512773
2025-07-23,29367.41818826992,32843.20292528269,-0.1058296520263288,0.17936032478558683
2025-07-24,29363.72629373867,32843.20292528269,-0.10594206172460484,-0.00012571396326299666
2025-07-25,25857.718992408103,32843.20292528269,-0.21269192133198322,-0.11939926378070631
2025-07-28,29256.036935828513,32843.20292528269,-0.10922095502119185,0.1314237324807408
2025-07-29,29561.75763132412,32843.20292528269,-0.0999124629051485,0.010449832838473228
2025-07-30,29710.00581552822,32843.20292528269,-0.09539864662050167,0.005014863664500657
2025-07-31,25955.904958747215,32843.20292528269,-0.20970238445391193,-0.12635813268063678
2025-08-01,18120.86956980068,32843.20292528269,-0.4482611939211556,-0.3018594574683131
2025-08-04,29435.236793319338,32843.20292528269,-0.10376473146411372,0.6243832383394341
2025-08-05,29315.36494425928,32843.20292528269,-0.10741455360030315,-0.004072392890933529
2025-08-06,29347.215484420412,32843.20292528269,-0.10644477789865822,0.0010864794015592594
2025-08-07,29834.73147563135,32843.20292528269,-0.09160103710029512,0.016612001621405748
2025-08-08,22263.15269450342,32843.20292528269,-0.32213819872710253,-0.25378404318176295
2025-08-11,27472.94982127344,32843.20292528269,-0.1635118571177853,0.2340098546804772
2025-08-12,30637.487231427953,32843.20292528269,-0.06715897042297231,0.11518739089692076
2025-08-13,26998.916300946996,32843.20292528269,-0.17794508768317369,-0.11876205457047107
2025-08-14,30746.50622099094,32843.20292528269,-0.0638395929002927,0.13880519789279466
2025-08-15,30695.964572126195,32843.20292528269,-0.06537846987826976,-0.001643817626024835
2025-08-18,24576.036067182347,32843.20292528269,-0.2517162189360125,-0.1993724123105457
2025-08-19,30764.892344648168,32843.20292528269,-0.06327977771725303,0.2518248370301719
2025-08-20,27085.956507856175,32843.20292528269,-0.17529491354798982,-0.11958227565298063
2025-08-21,31121.227225477025,32843.20292528269,-0.052430200054577776,0.14898018153615644
2025-08-22,25562.117667371556,32843.20292528269,-0.22169230188892924,-0.17862758167693882
2025-08-25,31293.454423846633,32843.20292528269,-0.04718627793280969,0.22421212636035892
2025-08-26,31288.13035005513,32843.20292528269,-0.04734838373605964,-0.00017013378323127437
2025-08-27,31234.3291911501,32843.20292528269,-0.04898650529891163,-0.0017195389530501037
2025-08-28,31095.452844561965,32843.20292528269,-0.053214970680441995,-0.004446272744909274
2025-08-29,28190.71985811177,32843.20292528269,-0.14165741014221972,-0.09341343253530332
2025-09-02,27902.690900744827,32843.20292528269,-0.15042722951769905,-0.010217155106951425
2025-09-03,26684.067464770706,32843.20292528269,-0.18753151069108073,-0.0436740470770004
2025-09-04,27062.083105007892,32843.20292528269,-0.17602180376337453,0.014166342546399813
2025-09-05,30786.908846974082,32843.20292528269,-0.0626094258524851,0.13764002303565848
2025-09-08,30971.352191090293,32843.20292528269,-0.05699355018604009,0.005990966648616203
2025-09-09,30999.966319203086,32843.20292528269,-0.05612231578853358,0.0009238901787771425
2025-09-10,31432.54603111715,32843.20292528269,-0.04295125835853296,0.013954199416213564
2025-09-11,31841.455020069785,32843.20292528269,-0.030500920007462497,0.013009095367197743
2025-09-12,24198.343791126914,32843.20292528269,-0.26321608016802056,-0.24003649406490346
2025-09-15,27623.153704762168,32843.20292528269,-0.15893849428741708,0.14153075694755057
2025-09-16,24224.79119606466,32843.20292528269,-0.2624108175084099,-0.12302586971130813
2025-09-17,29846.760678988954,32843.20292528269,-0.09123477552145427,0.23207504400853574
2025-09-18,28092.71099179413,32843.20292528269,-0.14464155473191173,-0.058768511131246814
2025-09-19,31471.965166162852,32843.20292528269,-0.04175103634804935,0.12028935816681408
2025-09-22,27948.74231917799,32843.20292528269,-0.1490250697302408,-0.11194797745813678
2025-09-23,28019.645225595836,32843.20292528269,-0.14686623928428372,0.002536890769828881
2025-09-24,31905.40179068983,32843.20292528269,-0.028553887899615955,0.138679720382197
2025-09-25,27730.565063547496,32843.20292528269,-0.15566806542487022,-0.1308504670942766
2025-09-26,32257.73103556633,32843.20292528269,-0.01782627263998256,0.16325545338309388
2025-09-29,28137.684458112715,32843.20292528269,-0.14327221610739033,-0.12772276428590046
2025-09-30,28360.373380994795,32843.20292528269,-0.13649185052037097,0.007914259014937253
2025-10-01,32847.951465559,32847.951465559,0.0,0.158234097424524
2025-10-02,33089.8584136486,33089.8584136486,0.0,0.007364445491927718
2025-10-03,32941.86414713859,33089.8584136486,-0.004472496215002432,-0.004472496215002453
2025-10-06,28941.81656451225,33089.8584136486,-0.1253568932596401,-0.12142748099377965
2025-10-07,24365.931831312177,33089.8584136486,-0.2636435149791412,-0.1581063414938132
2025-10-08,32809.19738511085,33089.8584136486,-0.008481783905789976,0.34651929637874135
2025-10-09,29139.189137735364,33089.8584136486,-0.11939214808739412,-0.11185912914288398
2025-10-10,16627.141731119154,33089.8584136486,-0.49751547669781077,-0.429389004185194
2025-10-13,32514.38909265682,33089.8584136486,-0.017391108592789202,0.9555008081637559
2025-10-14,30487.083436223715,33089.8584136486,-0.07865778526121825,-0.06235103020560706
2025-10-15,33082.03069421932,33089.8584136486,-0.0002365594718306075,0.08511628419373096
2025-10-16,27355.322804662435,33089.8584136486,-0.17330190831583728,-0.17310629877861627
2025-10-17,30243.043715459553,33089.8584136486,-0.08603284615490592,0.10556340100307415
2025-10-20,33201.7057688348,33201.7057688348,0.0,0.09782950688468062
2025-10-21,33495.37426401302,33495.37426401302,0.0,0.008844982159135872
2025-10-22,28586.441868077964,33495.37426401302,-0.14655553203384114,-0.1465555320338412
2025-10-23,28657.774545641892,33495.37426401302,-0.1444259043126615,0.0024953325038883367
2025-10-24,33128.659864397996,33495.37426401302,-0.010948210243138533,0.15600950840183114
2025-10-27,33474.17498585796,33495.37426401302,-0.000632901665405228,0.010429492858275102
2025-10-28,20156.399579974168,33495.37426401302,-0.3982333375020702,-0.3978522371801615
2025-10-29,32959.42510843178,33495.37426401302,-0.016000691658401872,0.6351841497118218
2025-10-30,26758.720571993796,33495.37426401302,-0.2011219113099147,-0.18813145302257417
2025-10-31,30167.26376397665,33495.37426401302,-0.09936030192718427,0.12738064896683832
2025-11-03,25392.208047827247,33495.37426401302,-0.24191896326686838,-0.15828600676244942
2025-11-04,32389.44350617379,33495.37426401302,-0.03301741754315699,0.27556624635269866
2025-11-05,32717.691778115928,33495.37426401302,-0.023217608490275196,0.010134421478392275
2025-11-06,28730.01949494332,33495.37426401302,-0.14226904083855943,-0.12188122286303416
2025-11-07,32396.07122101065,33495.37426401302,-0.032819547987061846,0.12760352378850914
2025-11-10,32505.234665529693,33495.37426401302,-0.029560487686418287,0.003369650713949568
2025-11-11,32935.719219820465,33495.37426401302,-0.016708427849807406,0.013243545500296827
2025-11-12,33224.86640991446,33495.37426401302,-0.008075976460701717,0.008779136965680445
2025-11-13,32975.460278170074,33495.37426401302,-0.015521963771622536,-0.007506610520786383
2025-11-14,30239.624046938385,33495.37426401302,-0.09719999518179952,-0.0829658239233988
2025-11-17,23747.497647489447,33495.37426401302,-0.2910215762836411,-0.21468938864358122
2025-11-18,27723.409333988093,33495.37426401302,-0.17232125500464254,0.16742444806259305
2025-11-19,32258.168077274226,33495.37426401302,-0.0369366282337091,0.16357146729881644
2025-11-20,23622.960672183894,33495.37426401302,-0.29473961132704574,-0.26769057016519815
2025-11-21,26088.865410225233,33495.37426401302,-0.22112034919834414,0.10438593080100023
2025-11-24,32719.74517096742,33495.37426401302,-0.023156304716347866,0.2541651258679609
2025-11-25,33243.89799155458,33495.37426401302,-0.007507791090085717,0.016019465244865083
2025-11-26,27256.893883125624,33495.37426401302,-0.18624901252678158,-0.18009332449371362
2025-11-28,33875.016075508436,33875.016075508436,0.0,0.24280544293713535
2025-12-01,33599.66490210756,33875.016075508436,-0.008128444065889529,-0.008128444065889529
2025-12-02,33661.355278389296,33875.016075508436,-0.0063073268110894545,0.001836041414742473
2025-12-03,31114.945125953993,33875.016075508436,-0.08147807054621499,-0.07564787963454656
2025-12-04,30797.383792183242,33875.016075508436,-0.09085257041546663,-0.010206070828190583
2025-12-05,23904.374064705215,33875.016075508436,-0.29433615584353845,-0.22381802863487255
2025-12-08,34157.52289511904,34157.52289511904,0.0,0.42892354355986195
2025-12-09,34008.342414162005,34157.52289511904,-0.004367426801266918,-0.004367426801266894
2025-12-10,34071.562949440326,34157.52289511904,-0.0025165743412557074,0.0018589713814454178
2025-12-11,34324.47241904482,34324.47241904482,0.0,0.0074228901673747405
2025-12-12,34034.59313132509,34324.47241904482,-0.008445265645478298,-0.008445265645478317
2025-12-15,28043.082770607314,34324.47241904482,-0.18300032617405346,-0.1760417801264459
2025-12-16,33965.43517582843,34324.47241904482,-0.010460095025879414,0.21118763773819071
2025-12-17,33772.09557621906,34324.47241904482,-0.016092799215736128,-0.005692245619952074
2025-12-18,30317.894938401678,34324.47241904482,-0.11672655683471202,-0.10227972469228963
2025-12-19,33985.981583756904,34324.47241904482,-0.009861501472054768,0.12098751093398308
2025-12-22,34263.080926103095,34324.47241904482,-0.001788563337324874,0.00815334233214049
